PassengerId,Survived,Pclass,Name,Sex,SibSp,Parch,Ticket,Fare
1,0,3,0,0,1,0,0,7.25
2,1,1,1,1,1,0,1,71.2833
3,1,3,2,1,0,0,2,7.925
4,1,1,3,1,1,0,3,53.1
5,0,3,4,0,0,0,4,8.05
6,0,3,5,0,0,0,5,8.4583
7,0,1,6,0,0,0,6,51.8625
8,0,3,7,0,3,1,7,21.075
9,1,3,8,1,0,2,8,11.1333
10,1,2,9,1,1,0,9,30.0708
11,1,3,10,1,1,1,10,16.7
12,1,1,11,1,0,0,11,26.55
13,0,3,12,0,0,0,12,8.05
14,0,3,13,0,1,5,13,31.275
15,0,3,14,1,0,0,14,7.8542
16,1,2,15,1,0,0,15,16.0
17,0,3,16,0,4,1,16,29.125
18,1,2,17,0,0,0,17,13.0
19,0,3,18,1,1,0,18,18.0
20,1,3,19,1,0,0,19,7.225
21,0,2,20,0,0,0,20,26.0
22,1,2,21,0,0,0,21,13.0
23,1,3,22,1,0,0,22,8.0292
24,1,1,23,0,0,0,23,35.5
25,0,3,24,1,3,1,7,21.075
26,1,3,25,1,1,5,24,31.3875
27,0,3,26,0,0,0,25,7.225
28,0,1,27,0,3,2,26,263.0
29,1,3,28,1,0,0,27,7.8792
30,0,3,29,0,0,0,28,7.8958
31,0,1,30,0,0,0,29,27.7208
32,1,1,31,1,1,0,30,146.5208
33,1,3,32,1,0,0,31,7.75
34,0,2,33,0,0,0,32,10.5
35,0,1,34,0,1,0,33,82.1708
36,0,1,35,0,1,0,34,52.0
37,1,3,36,0,0,0,35,7.2292
38,0,3,37,0,0,0,36,8.05
39,0,3,38,1,2,0,37,18.0
40,1,3,39,1,1,0,38,11.2417
41,0,3,40,1,1,0,39,9.475
42,0,2,41,1,1,0,40,21.0
43,0,3,42,0,0,0,41,7.8958
44,1,2,43,1,1,2,42,41.5792
45,1,3,44,1,0,0,43,7.8792
46,0,3,45,0,0,0,44,8.05
47,0,3,46,0,1,0,45,15.5
48,1,3,47,1,0,0,46,7.75
49,0,3,48,0,2,0,47,21.6792
50,0,3,49,1,1,0,48,17.8
51,0,3,50,0,4,1,49,39.6875
52,0,3,51,0,0,0,50,7.8
53,1,1,52,1,1,0,51,76.7292
54,1,2,53,1,1,0,52,26.0
55,0,1,54,0,0,1,53,61.9792
56,1,1,55,0,0,0,54,35.5
57,1,2,56,1,0,0,55,10.5
58,0,3,57,0,0,0,56,7.2292
59,1,2,58,1,1,2,57,27.75
60,0,3,59,0,5,2,58,46.9
61,0,3,60,0,0,0,59,7.2292
62,1,1,61,1,0,0,60,80.0
63,0,1,62,0,1,0,61,83.475
64,0,3,63,0,3,2,62,27.9
65,0,1,64,0,0,0,63,27.7208
66,1,3,65,0,1,1,64,15.2458
67,1,2,66,1,0,0,65,10.5
68,0,3,67,0,0,0,66,8.1583
69,1,3,68,1,4,2,67,7.925
70,0,3,69,0,2,0,68,8.6625
71,0,2,70,0,0,0,69,10.5
72,0,3,71,1,5,2,58,46.9
73,0,2,72,0,0,0,70,73.5
74,0,3,73,0,1,0,71,14.4542
75,1,3,74,0,0,0,72,56.4958
76,0,3,75,0,0,0,73,7.65
77,0,3,76,0,0,0,74,7.8958
78,0,3,77,0,0,0,75,8.05
79,1,2,78,0,0,2,76,29.0
80,1,3,79,1,0,0,77,12.475
81,0,3,80,0,0,0,78,9.0
82,1,3,81,0,0,0,79,9.5
